SMILES,Experimental value,Status
O=C(N)Nc1cccc(c1)Cl,1.82000005245209,Training
O=C1NC(=O)N(C=C1(F))Cc2ccccc2,0.889999985694885,Training
O=C2Oc1cc(O)ccc1C(=C2)C,1.89999997615814,Training
n1nc(C)sc1C,0.0299999993294477,Training
O=C(O)CCCC1=NS(=O)(=O)c2cc(ccc2(N1))Cl,0.8299999833107,Training
O=C(OCC(CC)CC)N(CC)CC,3.59999990463257,Training
O=C(OCCCC)C(C(=O)OCCCC)=C1SCCS1,4.59999990463257,Training
O=C(OC)Nc1ccc(OCC)c(OCC)c1,2.09999990463257,Training
O=C(O)C(c1ccc(c(F)c1)c2nc(cs2)CC)C,4.15999984741211,Training
O=C(O)CC1=NNOC1(=O),-1.6599999666214,Training
O=C(Nc1ccccc1C(=O)C)C,1.5,Training
O=C1C=CC(=O)C(=C1)c2ccccc2,1.95000004768372,Training
O=C(O)CCCN1C(=O)C=CC1(=O),0.400000005960465,Training
O=C(C)CCCCC,1.98000001907349,Training
O=C(NCCN2CCN(c1ccccc1(OC))CC2)c3ncncc3,1.5,Training
O=S(c1ccccc1)c2ccccc2,2.05999994277954,Training
O=C(Nc3ccc(Oc1nnnn1Cc2ccccc2)cc3)N(C)C,1.70000004768372,Training
O=C(NC1c2ccccc2(OC1))CN3CCCCC3,2.29999995231628,Training
o2c1cc(c(cc1c3cc(cc(c23)Cl)Cl)Cl)Cl,6.73000001907349,Training
O=C(c1ccc(OC)cc1)N(N)C,1,Training
O=C(Oc2cccc1c2(OC(C)(C)C1))N(C)SN(C(=O)C(C)C)C,3.59999990463257,Training
n1c(nc(nc1N)c2cc(ccc2Cl)Cl)N,1.97000002861023,Training
C=C2C1CCC(C1)C2(C)C,4.21999979019165,Training
O=C(OC)C(Oc2ccc(Oc1ncc(cc1Cl)C(F)(F)F)cc2)C,4.05000019073486,Training
ON=Cc1ccccc1,1.79999995231628,Training
c2cc1ccc(cc1c(c2)Cl)Cl,4.55999994277954,Training
O=C(N)NC(=O)C(C(C)C)Br,1.13999998569489,Training
O=C(Nc1ccc(OC(F)(F)F)cc1)C,2.61999988555908,Training
O=C2C(=Cc1oc(cc1)[N+](=O)[O-])SC(=N)N2C,1.44000005722046,Training
O=C(O)c1ccc(OCCC)cc1,3.08999991416931,Training
O=C(OC(C)(C)C)C=Cc1oc(cc1)[N+](=O)[O-],3.05999994277954,Training
O=C1C=C(N)C(=O)c2ccccc12,1.76999998092651,Training
O=C(OCS(=O)(=O)C)c1ccccc1(OC(=O)C),0.569999992847443,Training
O=C1C4=C(C(=O)N1c3cc2c(OCC(=O)N2CC#C)cc3(F))CCCC4,2.54999995231628,Training
C(CBr)Br,1.96000003814697,Training
O=C(c2cccc1nnsc12)SC,3.09999990463257,Training
C#CCC(O)(c1cnccc1)c2ccc(c(c2)Cl)Cl,2.42000007629395,Training
c1(c(c(c(c(c1Cl)Cl)C(C)C)Cl)Cl)C,6.80000019073486,Training
O=C(NC2CC2(c1ccccc1))C,1.42999994754791,Training
O=[N+]([O-])c1ccc(cc1)CC,3.02999997138977,Training
O=C(O)C(N)CCN,-4.6399998664856,Training
O=C(O)C1=CN(c2c(F)c(c(F)cc2(C1(=O)))N3CCNCC3)CC,-0.569999992847443,Training
O=C1OC(=NN1c2cc(OCC#C)c(cc2Cl)Cl)C(C)(C)C,3.95000004768372,Training
O=C(C=NO)CSC,1.21000003814697,Training
C1=C(C(=S)SS1)CC,2.67000007629395,Training
O=[N+]([O-])c1nccn1CC(O)C,-0.159999996423721,Training
n1cncc(OCC)c1,0.560000002384186,Training
O(c1ccc(N)cc1)C,0.949999988079071,Training
OC(c1ccc(OC)cc1)(c2ccc(cc2)c3ccncc3)Cn4cncc4,3.54999995231628,Training
O=C(Oc1cccc(F)c1)c2ccc(N)cc2(O),3.42000007629395,Training
N(=CN(C)C)c1ccc(cc1C)Cl,2.89000010490418,Training
n1cccc(c1)CN2CCCC2,1.10000002384186,Training
c1ccc3c(c1)N(c2ccccc2S3)CC(C)CN(C)C,4.71000003814697,Training
N=1C(=NC(N(C=1N)c2ccc(cc2)CCCC)(C)C)N,2.66000008583069,Training
n1ccnc2cc(ccc12)Cl,2.09999990463257,Training
O=C(O)C(CC)Br,1.41999995708466,Training
O=C(O)C(NC(=O)C1NCCC1)CC(C)C,-2.41000008583069,Training
c1ccc(cc1)C(C)C,3.66000008583069,Training
c1ccc2c(c1)ccs2,3.11999988555908,Training
O=C(Nc1ccccc1)C2=C(OCCS2(=O)(=O))C,0.740000009536743,Training
Fc1ccc(cc1)CCl,2.73000001907349,Training
Fc1ccc(cc1)C(O)(c2ccc(cc2)c3ccncc3)Cn4cncc4,2.47000002861023,Training
O=S(=O)(c1ccc(N)cc1)c2c(O)cc(O)cc2(O),1.52999997138977,Training
Oc1ccccc1C(C)CC,3.26999998092651,Training
N#CC(=NNc1cccc(c1)Cl)C(=O)OCC,3.94000005722046,Training
Fc1ccc(c(F)c1)C(O)(c2ccc(cc2)c3ncccc3)Cn4cncc4,3.65000009536743,Training
O1c2ccccc2(OCCOCCOCCOCCOCCOCCOCCOCC1),0.230000004172325,Training
O=C(N)c1nnccc1,-0.730000019073486,Training
O=C(O)COc1ccccc1C,1.98000001907349,Training
O=C(NN)c1cccc(c1)Br,1.25999999046326,Training
O=C(NC)N(c1ccccc1)C,1.01999998092651,Training
FC1C(C(C(C(C1Cl)Cl)Cl)Cl)Cl,3.19000005722046,Training
O=Cc1ccc(cc1)NC(=O)C,1.25,Training
O=C(OCCN(CC)CC)c1ccc(N)cc1,2.14000010490418,Training
O(c1ccc(cc1)SC)P(OCC)(=S)SCCC,5.48000001907349,Training
ON=C(C)C,0.119999997317791,Training
O=S(=O)(Nc1ccc(cc1)Cl)C,1.85000002384186,Training
O=C(OC)c2c[nH]c1ccccc12,2.5699999332428,Training
O=C(OC(C)C)n1cnc(c1)CC(NC(=O)C2NC(=O)CC2)C(=O)N3CCCC3(C(=O)N),-0.800000011920929,Training
O=C(N(C)C)Cc1ccccc1,1.48000001907349,Training
O=C(NC(CC1CCCCC1)C(O)CC(C(=O)NCCCNc2nc(n[nH]2)N)C(C)C)C(OC(C(=O)N3CCC(OCOC)CC3)Cc4ccccc4)CCCC,4.30000019073486,Training
n1occc1,0.0799999982118607,Training
n1cc(c(nc1N)N)Cc2ccc(c(OC)c2)SC,1.91999995708466,Training
O=C(OC)NC1=NCC(N1)c2cccc(F)c2,1.4099999666214,Training
O=C(Nc1cccc(OCC)c1)C,1.82000005245209,Training
