CAS,SMILES,Experimental value
50-00-0,O=C,0.35
50-02-2,O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C),1.89
50-03-3,O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(O)CC23(C))))C,2.19
50-06-6,O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC,1.47
50-07-7,O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N,-0.4
50-11-3,O=C1NC(=O)C(C(=O)N1C)(CC)CC,1.15
50-12-4,O=C2NC(c1ccccc1)(C(=O)N2C)CC,1.69
50-18-0,O=P1(OCCCN1)N(CCCl)CCCl,0.63
50-21-5,O=C(O)C(O)C,-0.72
50-22-6,O=C3C=C2CCC1C4CCC(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3),1.94
50-23-7,O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3),1.61
50-24-8,O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C),1.62
50-27-1,Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34),2.45
50-28-2,Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34),4.01
50-29-3,c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl,6.91
50-30-6,O=C(O)c1c(cccc1Cl)Cl,2.23
50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,6.13
50-35-1,O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3,0.33
50-36-2,O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3,2.3
50-37-3,O=C(N(CC)CC)C4C=C3c2cccc1[nH]cc(c12)CC3N(C)C4,2.95
50-47-5,c1ccc3c(c1)N(c2ccccc2CC3)CCCNC,4.9
50-48-6,c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3,4.92
50-49-7,c1ccc3c(c1)N(c2ccccc2CC3)CCCN(C)C,4.8
50-52-2,c1ccc3c(c1)N(c2cc(ccc2S3)SC)CCC4N(C)CCCC4,5.9
50-67-9,Oc1ccc2[nH]cc(c2(c1))CCN,0.21
50-70-4,OCC(O)C(O)C(O)C(O)CO,-2.72
50-71-5,O=C1NC(=O)C(=O)C(=O)N1,-1.84
50-78-2,O=C(O)c1ccccc1(OC(=O)C),1.19
50-79-3,O=C(O)c1cc(ccc1Cl)Cl,2.82
50-85-1,O=C(O)c1ccc(cc1(O))C,2.99
50-86-2,O=C(O)c1ccc(cc1(O))NC(=O)C,1.62
50-89-5,O=C1NC(=O)N(C=C1C)C2OC(CO)C(O)C2,-0.93
50-91-9,O=C1NC(=O)N(C=C1(F))C2OC(CO)C(O)C2,-1.16
51-03-6,O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC,4.75
51-06-9,O=C(NCCN(CC)CC)c1ccc(N)cc1,0.88
51-12-7,O=C(NNCCC(=O)NCc1ccccc1)c2ccncc2,0.87
51-17-2,n1c[nH]c2ccccc12,1.32
51-28-5,O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-],1.67
51-34-3,O=C(OC1CC3N(C)C(C1)C2OC23)C(c4ccccc4)CO,0.98
51-35-4,O=C(O)C1NCC(O)C1,-3.17
51-36-5,O=C(O)c1cc(cc(c1)Cl)Cl,3
51-41-2,Oc1ccc(cc1(O))C(O)CN,-1.24
51-43-4,Oc1ccc(cc1(O))C(O)CNC,-1.37
51-44-5,O=C(O)c1ccc(c(c1)Cl)Cl,3.25
51-45-6,n1c[nH]cc1CCN,-0.7
51-55-8,O=C(OC2CC1N(C)C(CC1)C2)C(c3ccccc3)CO,1.83
51-61-6,Oc1ccc(cc1(O))CCN,-0.98
51-66-1,O=C(Nc1ccc(OC)cc1)C,1.03
51-75-2,N(C)(CCCl)CCCl,0.91
51-79-6,O=C(OCC)N,-0.15
52-01-7,O=C1OC3(CC1)(CCC2C5C(CCC23(C))C4(C(=CC(=O)CC4)CC5SC(=O)C)(C)),2.52
52-24-4,N1(CC1)P(N2CC2)(N3CC3)=S,0.53
52-31-3,O=C1NC(=O)C(C(=O)N1)(C2=CCCCC2)CC,1.77
52-43-7,O=C1NC(=O)C(C(=O)N1)(CC=C)CC=C,1.15
52-44-8,O=C1NC(=O)C2(C(=O)N1)(CCCCC2),0.91
52-45-9,O=C1NC(NC(=O)C12(CCCCC2))=S,1.78
52-52-8,O=C(O)C1(N)(CCCC1),-2.28
52-53-9,N#CC(c1ccc(OC)c(OC)c1)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C,3.79
