"Id","CAS","SMILES","Status","Experimental_value","Predicted value","BINARY Predicted value","BINARY with unpredicted"
"2","91-08-7","O=C=Nc1cccc(N=C=O)c1C","Test","Mutagenic","Mutagenic","Mutagenic","Mutagenic"
"9","614-00-6","O=NN(c1ccccc1)C","Test","Mutagenic","Mutagenic","Mutagenic","Mutagenic"
"21","2849-98-1","O=C(OCCCCC)C(=C)C","Test","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic"
"23","97-90-5","O=C(OCCOC(=O)C(=C)C)C(=C)C","Test","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic"
"29","91-53-2","O(c1ccc2NC(C=C(c2(c1))C)(C)C)CC","Test","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic"
"39","3807-77-0","O=[N+]([O-])c2ccc1cccc3c1c2CC3","Test","Mutagenic","Mutagenic","Mutagenic","Mutagenic"
"44","142438-73-1","O=C(OC)C1(OC1(C)(C(O)C(C)C))(C(=O)N)","Test","Mutagenic","Mutagenic","Mutagenic","Mutagenic"
"53","119169-78-7","O=C(O)C4=CC3=CCC1C(CCC2(C)(C(C(=O)NC(C)(C)C)CCC12))C3(C)CC4","Test","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic"
"56","106-38-7","c1cc(ccc1C)Br","Test","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic"
"58","482-27-9","O=C2Oc3c(OC)c1occc1c(OC)c3(C=C2)","Test","NON-Mutagenic","Possible NON-Mutagenic","NON-Mutagenic",
"75","135-68-2","Nc1ccc(cc1)c2ccc(cc2)Cl","Test","Mutagenic","Mutagenic","Mutagenic","Mutagenic"
"79","39720-27-9","O=C(Oc1ccc(cc1)CCl)C","Test","Mutagenic","Possible NON-Mutagenic","NON-Mutagenic",
"81","123-92-2","O=C(OCCC(C)C)C","Test","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic","NON-Mutagenic"
