SMILES,Experimental value,Status
O=C(N)Nc1cccc(c1)Cl,1.8200000524520874,Training
O=C1NC(=O)N(C=C1(F))Cc2ccccc2,0.8899999856948853,Training
O=C2Oc1cc(O)ccc1C(=C2)C,1.899999976158142,Training
n1nc(C)sc1C,0.029999999329447746,Training
O=C(O)CCCC1=NS(=O)(=O)c2cc(ccc2(N1))Cl,0.8299999833106995,Training
O=C(OCC(CC)CC)N(CC)CC,3.5999999046325684,Training
O=C(OCCCC)C(C(=O)OCCCC)=C1SCCS1,4.599999904632568,Training
O=C(OC)Nc1ccc(OCC)c(OCC)c1,2.0999999046325684,Training
O=C(O)C(c1ccc(c(F)c1)c2nc(cs2)CC)C,4.159999847412109,Training
O=C(O)CC1=NNOC1(=O),-1.659999966621399,Training
O=C(Nc1ccccc1C(=O)C)C,1.5,Training
O=C1C=CC(=O)C(=C1)c2ccccc2,1.9500000476837158,Training
O=C(O)CCCN1C(=O)C=CC1(=O),0.4000000059604645,Training
O=C(C)CCCCC,1.9800000190734863,Training
O=C(NCCN2CCN(c1ccccc1(OC))CC2)c3ncncc3,1.5,Training
O=S(c1ccccc1)c2ccccc2,2.059999942779541,Training
O=C(Nc3ccc(Oc1nnnn1Cc2ccccc2)cc3)N(C)C,1.7000000476837158,Training
O=C(NC1c2ccccc2(OC1))CN3CCCCC3,2.299999952316284,Training
o2c1cc(c(cc1c3cc(cc(c23)Cl)Cl)Cl)Cl,6.730000019073486,Training
O=C(c1ccc(OC)cc1)N(N)C,1.0,Training
O=C(Oc2cccc1c2(OC(C)(C)C1))N(C)SN(C(=O)C(C)C)C,3.5999999046325684,Training
n1c(nc(nc1N)c2cc(ccc2Cl)Cl)N,1.9700000286102295,Training
C=C2C1CCC(C1)C2(C)C,4.21999979019165,Training
O=C(OC)C(Oc2ccc(Oc1ncc(cc1Cl)C(F)(F)F)cc2)C,4.050000190734863,Training
ON=Cc1ccccc1,1.7999999523162842,Training
c2cc1ccc(cc1c(c2)Cl)Cl,4.559999942779541,Training
O=C(N)NC(=O)C(C(C)C)Br,1.1399999856948853,Training
O=C(Nc1ccc(OC(F)(F)F)cc1)C,2.619999885559082,Training
O=C2C(=Cc1oc(cc1)[N+](=O)[O-])SC(=N)N2C,1.440000057220459,Training
O=C(O)c1ccc(OCCC)cc1,3.0899999141693115,Training
O=C(OC(C)(C)C)C=Cc1oc(cc1)[N+](=O)[O-],3.059999942779541,Training
O=C1C=C(N)C(=O)c2ccccc12,1.7699999809265137,Training
O=C(OCS(=O)(=O)C)c1ccccc1(OC(=O)C),0.5699999928474426,Training
O=C1C4=C(C(=O)N1c3cc2c(OCC(=O)N2CC#C)cc3(F))CCCC4,2.549999952316284,Training
C(CBr)Br,1.9600000381469727,Training
O=C(c2cccc1nnsc12)SC,3.0999999046325684,Training
C#CCC(O)(c1cnccc1)c2ccc(c(c2)Cl)Cl,2.4200000762939453,Training
c1(c(c(c(c(c1Cl)Cl)C(C)C)Cl)Cl)C,6.800000190734863,Training
O=C(NC2CC2(c1ccccc1))C,1.4299999475479126,Training
O=[N+]([O-])c1ccc(cc1)CC,3.0299999713897705,Training
O=C(O)C(N)CCN,-4.639999866485596,Training
O=C(O)C1=CN(c2c(F)c(c(F)cc2(C1(=O)))N3CCNCC3)CC,-0.5699999928474426,Training
O=C1OC(=NN1c2cc(OCC#C)c(cc2Cl)Cl)C(C)(C)C,3.950000047683716,Training
O=C(C=NO)CSC,1.2100000381469727,Training
C1=C(C(=S)SS1)CC,2.6700000762939453,Training
O=[N+]([O-])c1nccn1CC(O)C,-0.1599999964237213,Training
n1cncc(OCC)c1,0.5600000023841858,Training
O(c1ccc(N)cc1)C,0.949999988079071,Training
OC(c1ccc(OC)cc1)(c2ccc(cc2)c3ccncc3)Cn4cncc4,3.549999952316284,Training
O=C(Oc1cccc(F)c1)c2ccc(N)cc2(O),3.4200000762939453,Training
N(=CN(C)C)c1ccc(cc1C)Cl,2.890000104904175,Training
n1cccc(c1)CN2CCCC2,1.100000023841858,Training
c1ccc3c(c1)N(c2ccccc2S3)CC(C)CN(C)C,4.710000038146973,Training
N=1C(=NC(N(C=1N)c2ccc(cc2)CCCC)(C)C)N,2.6600000858306885,Training
n1ccnc2cc(ccc12)Cl,2.0999999046325684,Training
O=C(O)C(CC)Br,1.4199999570846558,Training
O=C(O)C(NC(=O)C1NCCC1)CC(C)C,-2.4100000858306885,Training
c1ccc(cc1)C(C)C,3.6600000858306885,Training
c1ccc2c(c1)ccs2,3.119999885559082,Training
O=C(Nc1ccccc1)C2=C(OCCS2(=O)(=O))C,0.7400000095367432,Training
Fc1ccc(cc1)CCl,2.7300000190734863,Training
Fc1ccc(cc1)C(O)(c2ccc(cc2)c3ccncc3)Cn4cncc4,2.4700000286102295,Training
O=S(=O)(c1ccc(N)cc1)c2c(O)cc(O)cc2(O),1.5299999713897705,Training
Oc1ccccc1C(C)CC,3.2699999809265137,Training
N#CC(=NNc1cccc(c1)Cl)C(=O)OCC,3.940000057220459,Training
Fc1ccc(c(F)c1)C(O)(c2ccc(cc2)c3ncccc3)Cn4cncc4,3.6500000953674316,Training
O1c2ccccc2(OCCOCCOCCOCCOCCOCCOCCOCC1),0.23000000417232513,Training
O=C(N)c1nnccc1,-0.7300000190734863,Training
O=C(O)COc1ccccc1C,1.9800000190734863,Training
O=C(NN)c1cccc(c1)Br,1.2599999904632568,Training
O=C(NC)N(c1ccccc1)C,1.0199999809265137,Training
FC1C(C(C(C(C1Cl)Cl)Cl)Cl)Cl,3.190000057220459,Training
O=Cc1ccc(cc1)NC(=O)C,1.25,Training
O=C(OCCN(CC)CC)c1ccc(N)cc1,2.140000104904175,Training
O(c1ccc(cc1)SC)P(OCC)(=S)SCCC,5.480000019073486,Training
ON=C(C)C,0.11999999731779099,Training
O=S(=O)(Nc1ccc(cc1)Cl)C,1.850000023841858,Training
O=C(OC)c2c[nH]c1ccccc12,2.569999933242798,Training
O=C(OC(C)C)n1cnc(c1)CC(NC(=O)C2NC(=O)CC2)C(=O)N3CCCC3(C(=O)N),-0.800000011920929,Training
O=C(N(C)C)Cc1ccccc1,1.4800000190734863,Training
O=C(NC(CC1CCCCC1)C(O)CC(C(=O)NCCCNc2nc(n[nH]2)N)C(C)C)C(OC(C(=O)N3CCC(OCOC)CC3)Cc4ccccc4)CCCC,4.300000190734863,Training
n1occc1,0.07999999821186066,Training
n1cc(c(nc1N)N)Cc2ccc(c(OC)c2)SC,1.9199999570846558,Training
O=C(OC)NC1=NCC(N1)c2cccc(F)c2,1.409999966621399,Training
O=C(Nc1cccc(OCC)c1)C,1.8200000524520874,Training
O=C1C=C(N(N1c2nc(nc(OC)c2)C)C)C,0.699999988079071,Training
c1ccc2cc3cc(ccc3(cc2(c1)))CC,5.849999904632568,Training
c1ccc3c(c1)N(c2cc(ccc2S3)SC)CCC4N(C)CCCC4,5.900000095367432,Training
O=C(OCCCC)c1cc(O)c(O)c(O)c1,2.4100000858306885,Training
c1cc(ccc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,4.619999885559082,Training
OCC3CCC4C(C)C(OCC)OC1OC2(OOC14(C3(CC2)))(C),2.0799999237060547,Training
n1cccc3c1C(c2ccccc2CC3)=C4CCN(C)CC4,3.5899999141693115,Training
O=C(NN(C(=O)c1ccccc1Cl)C(C)(C)C)c2ccccc2,2.5899999141693115,Training
O=P(OCCCC)(OCCCC)C,3.259999990463257,Training
O=C(Oc1cccc(c1)C2(C(=O)CC)(CCN(C)CC2))C(C)(C)C,2.5899999141693115,Training
Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34),2.450000047683716,Training
n1ccc(cc1NCc2ccc(cc2)C)c3nc(n[nH]3)N,2.690000057220459,Training
O=C1Nc3ccc(cc3(C(=NC1)c2ncccc2))Br,2.049999952316284,Training
O=[N+]([O-])c1ccc2oncc2(c1),1.4600000381469727,Training
O=C(ON=C(C)C(C)SC)NC,1.100000023841858,Training
O=C(O)COc1cccc(c1)SC,1.899999976158142,Training
O=C(Nc2ccc(OCCc1ccc(cc1)C)cc2)N(OC)C,3.809999942779541,Training
Fc3ccc(OCCCN2CCN(c1ccccc1(OC))CC2)cc3,4.099999904632568,Training
O=C(O)CC(O)(C(=O)O)CC(=O)O,-1.6399999856948853,Training
